id,kind,step,phase,title,status,refinery_class,aera_skill,skill_type,metric,metric_target,description,tooling,transformation_badge,transformation_note,aera
performance-monitoring,agent,8,Post-Launch Optimization & Scaling,Performance Monitoring Agent,planned,AnalyticsAgent,no,,Forecast accuracy & bias vs. plan,,"Tracks KPIs (MAPE, WMAPE, Bias), performs root-cause analysis, and auto-flags model degradation vs. plan.","KPI metrics · accuracy & bias formulas (MAPE, WMAPE, Bias)",ENABLED·AUTOMATED,"MAPE, sell-through and margin are tracked against plan automatically, with model degradation auto-flagged.",Placeholder
scaling,agent,8,Post-Launch Optimization & Scaling,Scaling Agent,planned,CustomAgent,no,,Time-to-scale in high-velocity markets,,"Identifies expansion opportunities, simulates scaling scenarios, and triggers replenishment in high-velocity markets for planner approval.",Scenario simulator · forecasting models on simulated parameters,TRANSFORMED·AUGMENTED,Expansion opportunities are identified and replenishment triggered in high-velocity markets for planner approval.,Placeholder
learning-loop,agent,8,Post-Launch Optimization & Scaling,Learning Loop Agent,planned,CustomAgent,no,,Forecast improvement cycle-over-cycle,,"Writes NPI actuals back into the like-product library and forecast models, closing the loop each cycle. Backed by Distiller MemTree persistent memory.",ML · feedback loop models · like-product library updates,TRANSFORMED·CONTINUOUS,"NPI actuals are written back into the like-product library and forecast models, closing the loop each cycle.",Placeholder
osa,aera-skill,6,Distribution & Fulfillment Execution,On-Shelf Availability,deployed,ToolUseAgent,yes,deterministic,Protects launch-week service levels,,"Aera skill (deterministic). Reaches into distributor and customer shelf and warehouse data to see what is on-shelf and in the warehouse; when service levels slip, pushes out corrective actions. Running today — fills this step's shelf-availability gap ahead of the future agentic version.",Retailer/distributor data connectors · service-level rules · push alerts,ENABLED·AUTOMATED,"Shelf and warehouse positions are read continuously and service-level gaps trigger corrective pushes, instead of manual account-by-account checks.",
sclp,aera-skill,4,Downstream Planning Systems,Supply Chain Loss Prevention,deployed,CustomAgent,yes,deterministic,Prevents over-build write-off loss,,Aera skill (deterministic). Prevents supply-chain loss by cutting production during the frozen period when demand is not manifesting — protecting against over-build and write-off. Drives supply planning and inventory pre-builds in Kinaxis. Running today within this otherwise-placeholder step.,Frozen-period plan vs. live demand · production-cut decision logic,ENABLED·AUTOMATED,"Frozen-period production is cut automatically when demand fails to manifest — no manual per-cycle review, instead of building to a stale plan.",
touchpoint-1-launch-plan-approval,touchpoint,"1,2,3,5",Pre-Launch governance gate,Touchpoint 1 · Launch Plan Approval,,HumanAgent,no,,,,"Review agent-generated launch scenarios and confidence bands; approve initial supply, inventory, and distribution plan.",,,,
touchpoint-2-exception-review,touchpoint,7,Launch governance gate,Touchpoint 2 · Exception Review,,HumanAgent,no,,,,Review the scored and ranked NPI exception queue; decide accept agent recommendation or override with judgment.,,,,
touchpoint-3-post-launch-recalibration,touchpoint,8,Post-Launch governance gate,Touchpoint 3 · Post-Launch Recalibration,,HumanAgent,no,,,,Review sell-through vs. forecast; approve scaling or wind-down; confirm updated supply plan for the next launch window.,,,,
NPIControlTowerOrchestrator,orchestrator,,Top-level router,NPIControlTowerOrchestrator,,orchestrator,no,,,,"Planner-as-Launch-Control-Tower router over the 8-step NPI super-agents; governs the 25+ → 3 touchpoints surface. Memory (MemTree): persists approved decisions, sell-through outcomes, and like-product precedents across NPI cycles.",,,,
aera-decision-cloud,service,,Called decision-intelligence service,Aera,,ToolUseAgent (alt A2AClientAgent),no,,,,"Called decision-intelligence service — returns forecast, inventory & optimization answers on request · Skills · Cortex. Invoked as a node inside pipelines; NOT an orchestrator.",,,,
